intervalos,canal3
0,208
1,208
2,208
3,208
4,208
5,208
6,209
7,209
8,209
9,209
10,209
11,209
12,209
13,209
14,209
15,209
0,210
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,211
9,211
10,211
11,211
12,211
13,211
14,211
15,211
0,211
1,211
2,211
3,211
4,212
5,212
6,212
7,212
8,212
9,212
10,212
11,212
12,212
13,212
14,213
15,213
0,213
1,213
2,213
3,213
4,213
5,213
6,213
7,213
8,213
9,213
10,213
11,214
12,214
13,214
14,214
15,214
0,214
1,214
2,214
3,214
4,214
5,214
6,214
7,214
8,214
9,214
10,214
11,214
12,214
13,214
14,214
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,215
15,215
0,215
1,215
2,215
3,215
4,215
5,215
6,215
7,215
8,215
9,215
10,215
11,215
12,215
13,215
14,214
15,214
0,214
1,214
2,214
3,214
4,214
5,214
6,214
7,214
8,214
9,214
10,214
11,214
12,214
13,214
14,214
15,214
0,214
1,214
2,214
3,214
4,214
5,214
6,214
7,214
8,214
9,214
10,214
11,214
12,214
13,214
14,213
15,214
0,214
1,213
2,213
3,213
4,213
5,213
6,213
7,213
8,213
9,213
10,213
11,213
12,213
13,213
14,213
15,213
0,213
1,213
2,213
3,213
4,213
5,212
6,212
7,212
8,212
9,212
10,212
11,212
12,212
13,212
14,212
15,212
0,212
1,212
2,212
3,212
4,212
5,212
6,212
7,212
8,212
9,212
10,212
11,212
12,212
13,212
14,211
15,211
0,211
1,211
2,211
3,211
4,211
5,211
6,211
7,211
8,211
9,211
10,211
11,211
12,211
13,211
14,211
15,211
0,211
1,211
2,211
3,211
4,211
5,211
6,211
7,211
8,211
9,210
10,210
11,210
12,210
13,210
14,210
15,210
0,210
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,210
10,209
11,209
12,209
13,209
14,208
15,208
0,208
1,208
2,209
3,209
4,209
5,209
6,209
7,209
8,209
9,209
10,209
11,209
12,209
13,210
14,210
15,210
0,210
1,210
2,210
3,210
4,210
5,210
6,210
7,210
8,210
9,209
10,209
11,209
12,209
13,209
14,209
15,209
0,209
1,209
2,209
3,209
4,209
5,209
6,209
7,209
8,209
9,209
10,209
11,209
12,209
13,209
14,209
15,209
0,209
1,209
2,209
3,209
4,209
5,209
6,208
7,208
8,208
9,208
10,208
11,208
12,208
13,208
14,208
15,208
0,208
1,208
2,208
3,208
4,208
5,208
6,208
7,208
8,208
9,208
10,207
11,208
12,208
13,207
14,207
15,207
0,207
1,207
2,207
3,207
4,207
5,207
6,207
7,207
8,207
9,207
10,207
11,207
12,207
13,207
14,207
15,207
0,207
1,207
2,207
3,207
4,208
5,208
6,208
7,208
8,208
9,208
10,208
11,208
12,208
13,208
14,208
15,208
0,208
1,209
2,209
3,209
4,209
5,209
6,209
7,209
8,210
9,210
10,210
11,210
12,211
13,211
14,211
15,211
0,211
1,211
2,211
3,211
4,212
5,212
6,212
7,212
8,212
9,212
10,213
11,213
12,213
13,214
14,214
15,214
0,214
1,214
2,215
3,215
4,215
5,216
6,216
7,216
8,216
9,216
10,216
11,217
12,217
13,217
14,217
15,218
0,218
1,218
2,219
