intervalos,canal3
0,217
1,218
2,219
3,219
4,220
5,220
6,221
7,221
8,222
9,222
10,222
11,222
12,223
13,223
14,223
15,223
0,223
1,223
2,223
3,224
4,223
5,223
6,223
7,224
8,223
9,223
10,223
11,223
12,223
13,223
14,223
15,223
0,223
1,223
2,223
3,223
4,223
5,223
6,223
7,223
8,223
9,223
10,223
11,223
12,223
13,223
14,223
15,223
0,223
1,223
2,223
3,223
4,223
5,223
6,223
7,223
8,223
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,226
15,226
0,226
1,226
2,226
3,226
4,226
5,226
6,226
7,226
8,226
9,227
10,227
11,227
12,227
13,227
14,227
15,227
0,227
1,227
2,227
3,227
4,227
5,227
6,227
7,227
8,227
9,227
10,227
11,227
12,227
13,227
14,227
15,227
0,227
1,227
2,227
3,227
4,227
5,227
6,227
7,228
8,227
9,227
10,228
11,228
12,227
13,227
14,228
15,228
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,228
12,228
13,228
14,228
15,228
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,228
12,228
13,228
14,228
15,228
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,229
12,228
13,229
14,228
15,229
0,229
1,229
2,228
3,229
4,229
5,229
6,229
7,229
8,229
9,229
10,229
11,229
12,229
13,229
14,229
15,229
0,229
1,229
2,229
3,229
4,229
5,229
6,229
7,229
8,229
9,229
10,229
11,229
12,229
13,229
14,229
15,229
0,229
1,229
2,229
3,229
4,229
5,229
6,229
7,229
8,229
9,229
10,229
11,229
12,229
13,229
14,229
15,230
0,229
1,229
2,229
3,230
4,229
5,229
6,229
7,230
8,230
9,229
10,230
11,230
12,229
13,230
14,230
15,230
0,230
1,230
2,230
3,230
4,230
5,230
6,230
7,230
8,230
9,230
10,230
11,230
12,230
13,230
14,230
15,230
0,230
1,230
2,230
3,230
4,230
5,230
6,230
7,230
8,230
9,230
10,230
11,230
12,230
13,230
14,230
15,230
0,230
1,230
2,230
3,230
4,230
5,230
6,230
7,230
8,230
9,230
10,230
11,230
12,230
13,230
14,230
15,230
0,230
1,230
2,230
3,230
4,230
5,230
6,230
