intervalos,canal3
0,231
1,231
2,231
3,231
4,231
5,231
6,231
7,231
8,231
9,231
10,231
11,230
12,230
13,230
14,230
15,230
0,229
1,229
2,229
3,229
4,229
5,229
6,229
7,229
8,229
9,229
10,229
11,229
12,229
13,228
14,228
15,229
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,228
12,228
13,228
14,228
15,228
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,228
12,228
13,228
14,228
15,228
0,228
1,227
2,227
3,228
4,227
5,227
6,227
7,227
8,227
9,227
10,227
11,227
12,227
13,227
14,227
15,227
0,227
1,227
2,227
3,227
4,227
5,227
6,227
7,227
8,227
9,227
10,227
11,227
12,227
13,227
14,227
15,227
0,227
1,227
2,227
3,227
4,227
5,227
6,227
7,227
8,227
9,227
10,227
11,227
12,227
13,227
14,227
15,227
0,226
1,226
2,226
3,226
4,226
5,226
6,226
7,226
8,226
9,226
10,226
11,226
12,226
13,226
14,226
15,226
0,226
1,226
2,226
3,226
4,226
5,226
6,226
7,226
8,226
9,226
10,226
11,226
12,226
13,226
14,226
15,226
0,226
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,225
15,225
0,225
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,225
15,225
0,225
1,225
2,225
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,225
15,225
0,225
1,225
2,225
3,225
4,225
5,225
6,224
7,225
8,225
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,224
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,224
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,224
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,224
9,223
10,223
11,224
12,223
13,223
14,223
15,224
0,224
1,223
2,223
3,224
4,223
5,223
6,223
7,224
8,224
9,223
10,223
11,224
12,224
13,223
14,223
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,224
9,224
10,224
11,224
12,224
13,224
14,224
15,224
0,224
1,224
2,224
3,224
4,224
5,224
6,224
7,225
8,224
9,225
10,225
11,225
12,225
13,225
14,225
15,225
0,225
1,225
2,225
3,226
4,226
5,226
6,226
7,226
8,226
9,226
10,227
11,227
12,227
13,227
14,227
15,227
0,227
1,227
2,227
3,228
4,228
5,228
6,228
7,228
8,228
9,229
10,229
11,229
12,229
13,230
14,230
15,230
0,230
1,230
2,231
3,231
4,231
5,231
6,231
7,232
8,232
9,232
10,232
11,233
12,233
13,233
14,233
15,234
0,234
1,234
2,234
3,235
4,235
5,235
6,235
7,236
8,236
9,236
10,236
11,236
12,237
13,237
14,237
15,237
0,238
1,238
2,238
3,238
4,238
5,239
6,239
7,239
8,239
9,239
10,240
11,240
12,240
13,240
14,240
15,240
0,240
1,241
2,241
3,241
4,241
5,241
6,241
7,242
8,242
9,242
10,242
11,242
12,242
13,242
14,243
15,243
0,243
1,243
2,243
3,243
4,243
5,243
6,243
7,244
8,244
9,244
10,244
11,244
12,244
13,244
14,244
15,244
0,244
1,244
2,245
3,245
4,245
5,245
6,245
7,245
8,245
9,245
10,245
11,246
12,246
13,246
14,246
15,246
0,246
1,246
2,246
3,246
4,246
5,246
6,246
7,246
8,246
9,246
10,247
11,247
12,247
13,247
14,247
15,247
0,247
1,247
2,247
3,247
4,247
5,247
6,247
7,247
8,247
9,247
10,248
11,248
12,248
13,248
14,248
15,248
0,248
1,248
2,248
3,248
4,248
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,248
14,248
15,248
0,248
1,248
2,248
3,248
4,248
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,248
14,248
15,249
0,248
1,248
2,248
3,248
4,248
5,248
6,248
7,249
8,248
9,248
10,249
11,249
12,248
13,248
14,248
15,249
0,248
1,248
2,248
3,249
4,248
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,248
14,248
15,248
0,248
1,248
2,248
3,248
4,248
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,248
14,248
15,248
0,248
1,248
2,248
3,248
4,248
5,248
6,248
7,248
8,248
9,248
10,248
11,248
12,248
13,247
14,247
15,248
0,247
1,247
2,247
3,247
4,247
5,247
6,247
7,247
8,247
9,247
10,247
11,247
12,247
13,247
14,247
15,247
0,246
1,246
2,246
3,246
4,246
5,246
6,246
7,246
8,246
9,246
10,246
11,246
12,245
13,245
14,245
15,245
0,245
1,245
2,245
3,245
4,245
5,244
6,244
7,244
8,244
9,244
10,244
11,244
12,244
13,244
14,244
15,244
0,244
1,243
2,243
3,242
4,242
5,242
6,242
7,242
8,242
9,242
10,242
11,243
12,242
