intervalos,canal3
0,161
1,161
2,161
3,161
4,161
5,161
6,161
7,161
8,161
9,161
10,161
11,161
12,161
13,161
14,161
15,161
0,161
1,161
2,161
3,161
4,161
5,161
6,161
7,161
8,160
9,160
10,160
11,160
12,160
13,160
14,160
15,160
0,161
1,161
2,161
3,161
4,161
5,161
6,161
7,161
8,161
9,161
10,161
11,161
12,161
13,161
14,161
15,161
0,161
1,162
2,162
3,162
4,162
5,162
6,162
7,162
8,162
9,162
10,162
11,162
12,162
13,162
14,162
15,162
0,162
1,162
2,162
3,162
4,162
5,163
6,163
7,163
8,163
9,163
10,163
11,163
12,163
13,163
14,163
15,163
0,163
1,163
2,163
3,163
4,163
5,163
6,163
7,163
8,163
9,163
10,163
11,163
12,163
13,164
14,164
15,164
0,164
1,164
2,164
3,164
4,164
5,164
6,164
7,164
8,164
9,164
10,164
11,164
12,164
13,164
14,165
15,164
0,164
1,164
2,165
3,165
4,165
5,165
6,165
7,165
8,165
9,165
10,165
11,165
12,165
13,165
14,165
15,165
0,165
1,165
2,165
3,165
4,165
5,165
6,166
7,166
8,166
9,166
10,166
11,166
12,166
13,166
14,166
15,166
0,166
1,166
2,166
3,166
4,166
5,166
6,166
7,166
8,166
9,166
10,166
11,166
12,166
13,166
14,166
15,166
0,166
1,166
2,167
3,166
4,166
5,166
6,167
7,167
8,167
9,167
10,167
11,167
12,167
13,167
14,167
15,167
0,167
1,167
2,167
3,167
4,167
5,167
6,167
7,167
8,167
9,167
10,167
11,167
12,167
13,167
14,167
15,167
0,167
1,167
2,167
3,167
4,167
5,167
6,167
7,167
8,167
9,167
10,167
11,167
12,167
13,167
14,167
15,167
0,167
1,167
2,167
3,167
4,167
5,167
6,167
7,167
8,167
9,167
10,167
11,167
12,167
13,167
14,167
15,167
0,167
1,167
2,168
3,167
4,167
5,168
6,168
7,168
8,168
9,168
10,168
11,168
12,168
13,168
14,168
15,168
0,168
1,168
2,168
3,168
4,168
5,168
6,168
7,168
8,168
9,168
10,168
11,168
12,168
13,168
14,168
15,168
0,168
1,168
2,169
3,168
4,168
5,168
6,169
7,168
8,168
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,169
7,169
8,169
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,169
7,169
8,169
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,169
7,169
8,169
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,169
7,169
8,169
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,169
7,169
8,169
9,169
10,169
11,169
12,169
13,169
14,169
15,169
0,169
1,169
2,169
3,169
4,169
5,169
6,170
7,169
8,169
9,169
10,170
11,170
12,169
13,170
14,170
15,170
0,170
1,170
2,170
3,170
4,170
5,170
6,170
7,170
8,170
9,170
10,170
11,170
12,170
13,170
14,170
15,170
0,170
1,170
2,170
3,170
4,170
5,170
6,170
7,170
8,170
9,170
10,170
11,170
12,170
13,170
14,170
15,170
0,170
1,170
2,170
3,170
4,170
5,170
6,170
7,170
8,170
9,170
10,171
11,171
12,170
13,170
14,171
15,171
0,171
1,171
2,171
3,171
4,171
5,171
6,171
7,171
8,171
9,171
10,171
11,171
12,171
13,171
14,171
15,171
0,171
1,171
2,171
3,171
4,171
5,171
6,171
7,171
8,171
9,171
10,171
11,171
12,171
13,171
14,171
15,171
0,171
1,171
2,171
3,171
4,171
5,171
6,172
7,171
8,171
9,171
10,172
11,171
12,171
13,172
14,172
15,172
0,172
1,172
2,172
3,172
4,172
5,172
6,172
7,172
8,172
9,172
10,172
11,172
12,172
13,172
14,172
15,172
0,172
1,172
2,172
3,172
4,172
5,172
6,172
7,172
8,172
9,172
10,172
11,172
12,172
13,172
14,172
15,172
0,172
1,172
2,172
3,172
4,172
5,172
6,172
7,172
8,172
9,172
10,173
11,173
12,172
13,173
14,173
15,173
0,173
1,173
2,173
3,173
4,173
5,173
6,173
7,173
8,173
9,173
10,173
11,173
12,173
13,173
14,174
15,173
0,173
1,174
2,174
3,174
4,174
5,174
6,174
7,174
8,174
9,174
10,174
11,174
12,174
13,174
14,174
15,174
0,174
1,174
2,174
3,174
4,174
5,174
6,175
7,175
8,175
9,175
10,175
11,175
12,175
13,175
14,175
15,175
0,175
1,175
2,175
3,175
4,175
5,175
6,175
7,175
8,175
9,175
10,175
11,175
12,175
13,176
14,176
15,176
0,176
1,176
2,176
3,176
4,176
5,176
6,176
7,176
